"name","?column?","context","type","order","status"
"dashboard","Reports","global","App\Models\Snippet",0,"published"
"analytics","Analytics","global","App\Models\Snippet",0,"published"
"homeSnippetTwo","Cardano is a network that uses third-generation blockchain technology that is uniquely fast, useful, and earth-friendly. Blockchains are all about decentralization - shared work, shared responsibility, and shared rewards. This applies to the technology of course, but it also applies to the people. Where do you fit in?","global","App\Models\Snippet",0,"published"
"homeSnippetOne","## Blockchain education, outreach, and global community building: ## Because the Future is for Everyone!","global","App\Models\Snippet",0,"published"
"socialBio","Blockchain education in plain English, Kiswahili & Español, outreach, and global community-building: because the future is for everyone. ticker: lido #ADAChain","global","App\Models\Snippet",0,"published"
"siteTitle","Blockchain Education & Community Building","global","App\Models\Snippet",0,"published"
"funds","Funds","global","App\Models\Snippet",0,"published"
"headlines","Headlines","global","App\Models\Snippet",0,"published"
"charts","Charts","global","App\Models\Snippet",0,"published"
"ADA held on the Cardano network is a stake","ADA held on the Cardano network is a stake. When you stake your ADA, you earn rewards for supporting the ecosystem. The process to stake your ADA is as easy as 1-2-3.","how to stake","App\Models\Snippet",1,"published"
"Launch the app or browser extension","### Launch the app or browser extension. * Select language and accept the terms agreement, select ""Simple"" setup experience, select ""Cardano"" as the currency.   * Select ""Create Wallet"". Enter a wallet name and spending password.   * Copy the recovery phrase by hand     - This phrase is your only access to your wallet.     - Write carefully, and store it safely in multiple locations. * Enter the recovery phrase by clicking the buttons","how to stake","App\Models\Snippet",3,"published"
"Next, in Coinbase:","### Next, in Coinbase: *  Click the **Send/Receive** button. Click the ""Send all"" button or type in the amount you'd like to send. Paste the address from Yoroi into the ""To"" field. * Select Cardano in the ""Pay with"" field. Click ""Continue"". * Confirm details of the transaction and click ""Send now"". You may need to perform a 2-step verification.    **You did it!**   It may take a few minutes for the transaction to be processed by the network.","how to stake","App\Models\Snippet",5,"published"
"impactProjects","Impact Proposals","global","App\Models\Snippet",0,"published"
"delegators","Delegators","global","App\Models\Snippet",0,"published"
"missing","Missing","global","App\Models\Snippet",0,"published"
"missingProposal","Having trouble finding your exact proposal","global","App\Models\Snippet",0,"published"
"proposal","Proposal","global","App\Models\Snippet",0,"published"
"bazaar","Bazaar","global","App\Models\Snippet",0,"published"
"api","API","global","App\Models\Snippet",0,"published"
"unmatchedsupport","Unmatched Support","global","App\Models\Snippet",0,"published"
"unmatchedsupportcontent","We provide phone and email support for all of our delegates. We understand that many of our community members are not tech or crypto nerds. You expect the same level of service and support you get from Reggie down at the bank or Saiid, your nephew or friend at the office that won't stop talking about Bitcoin.    We host weekly [meetups](//meetup.com/lido-nation-cardano-pool-meetup) (currently online due to Covid).Visit our [connect](//www.lidonation.com/en/connect) page for all the ways you can reach us. page for all the ways you can reach us.","global","App\Models\Snippet",0,"published"
"bestinservers","Best in class servers","global","App\Models\Snippet",0,"published"
"bestinserverscontent","Our servers are run and managed by professionals whose only job is to manage and run servers 24/7 365/6 days a year.  We run our Cardano nodes on the same servers powering other services you've come to rely on everyday, like Google and Pokemon Go.  What this means for you is that our servers are always online and available to process transactions, earning you and the causes we support the optimal amount of $$$$. Visit our [pool page](//www.lidonation.com/en/lido-staking-pool) for more technical details.","global","App\Models\Snippet",0,"published"
"communitydevelopment"," #4% for community development and investment","global","App\Models\Snippet",0,"published"
"communitydevelopmentcontent","Of all the rewards that come in, we keep 4% annually. All 4% goes towards charities you pick, paying LIDO nation community members like yourself to write code and content for the site, and grants for local community educational projects.   See our [financials page](//www.lidonation.com/en/financial-details) for full records of our spending, more details, and breakdowns.","global","App\Models\Snippet",0,"published"
"amazingcommunity","An Amazing Community","global","App\Models\Snippet",0,"published"
"amazingcommunitycontent","When you delegate and join LIDO Nation, you get to participate in creating a space for people to interact, meet, learn, and teach each other. You get to be part of the engine that works to make every voice heard with equal importance.  LIDO Nation is an idea. Delegate, take it and lets make something great!","global","App\Models\Snippet",0,"published"
"search proposals and challenges by title, content, or author and co-authors","search proposals and challenges by title, content, or author and co-authors","global","App\Models\Snippet",0,"published"
"Filters","Filters","global","App\Models\Snippet",0,"published"
"Submitted","Submitted","global","App\Models\Snippet",0,"published"
"Approved","Approved","global","App\Models\Snippet",0,"published"
"Fully Paid","Fully Paid","global","App\Models\Snippet",0,"published"
"Completed","Completed","global","App\Models\Snippet",0,"published"
"Search metrics","Search metrics","global","App\Models\Snippet",0,"published"
"Requested","Requested","global","App\Models\Snippet",0,"published"
"Distributed","Distributed","global","App\Models\Snippet",0,"published"
"Remaining","Remaining","global","App\Models\Snippet",0,"published"
"Fully","Fully","global","App\Models\Snippet",0,"published"
"Paid","Paid","global","App\Models\Snippet",0,"published"
"Funding Status","Funding Status","global","App\Models\Snippet",0,"published"
"Community Filters","Community Filters","global","App\Models\Snippet",0,"published"
"These filters are not based on primary catalyst data but rather self assembled datasets by community groups","These filters are not based on primary catalyst data but rather self assembled datasets by community groups","global","App\Models\Snippet",0,"published"
"We do not perform any validation at LIDO Nation","We do not perform any validation at LIDO Nation","global","App\Models\Snippet",0,"published"
